name,address,type,opened,closed,Borough
Washington Square Park,"Washington Square, New York, NY 10012",cruising,,,Manhattan
7th Avenue IRT subway,,cruising,,,Manhattan
Christopher Street subway stop,,cruising,,,Manhattan
Bathrooms in Main and Waverly buildings of NYU campus,,cruising,,,Manhattan
Bathrooms in Columbia University's Haddon Hall,,cruising,,,Manhattan
Hunter College,,cruising,,,Manhattan
New School,"66 West 12th Street, New York, NY 10011",cruising,,,Manhattan
Beekman Place Park,"3 Mitchell Pl, New York, NY 10017",cruising,,,Manhattan
Bloomingdale's,"59th Street and, 1000 Third Avenue, Lexington Ave, New York, NY 10022",cruising,,,Manhattan
Bus Station,"628 8th Ave, New York, NY 10018",cruising,,,Manhattan
Cruising Spot,"225 W 42nd St, New York, NY 10036",cruising,,,Manhattan
Riverside Park,"R25M+R3, New York, NY 10025",cruising,,,Manhattan
Cruising Spot,"915 3rd Ave, New York, NY 10022",cruising,,,Manhattan
Tunnel cruising spot,"547 W 20th St, New York, NY 10011",cruising,,,Manhattan
Macy's,"450 7th Ave, New York, NY 10123",cruising,,,Manhattan
Cameo Theatre,"128 W 44th St, New York, NY 10036",cruising,,,Manhattan
Brooklyn Heights Promenade,"5-1 Remsen St, Brooklyn, NY 11201",cruising,1952,1990,Brooklyn
Brooklyn College,"2900 Bedford Avenue Brooklyn, NY 11210",cruising,,,Brooklyn
Orchard Beach,"Orchard Beach Cir, City Island Rd, Bronx, NY 10464",cruising,1937,1995,Bronx
Riis Park Beach,"157 Rockaway Beach Blvd, Rockaway Park, NY 11694",cruising,,,Queens
Cruising Spot,"115-98 Park Ln S, Jamaica, NY 11418",cruising,,,Queens
Cruising Spot,"65-30 Kissena Blvd, Queens, NY 11367",cruising,,,Queens
Cruising Spot,"106-21 68th Ave, Queens, NY 11375",cruising,,,Queens
Cruising Spot,"68-12 37th Rd, Woodside, NY 11377",cruising,,,Queens
Automat,"40 W 57th St, New York, NY 10019",cruising ,,,Manhattan
"South Beach, Franklin D. Roosevelt Boardwalk & Parking Lots","642 Father Capodanno Blvd, Staten Island, NY 10305",cruising ,1960,2010,Staten Island
Variety Theater,"111 3rd Ave, New York, NY 10003",cruising at movies,,,Manhattan
Park Miller Theater,"151 W 42nd St, New York, NY 10036",cruising at movies,,,Manhattan
The David,"236 W 55th St, New York, NY 10019",cruising at movies,,,Manhattan
Tomcat Theater,"424 W 42nd St, New York, NY 10036",cruising at movies,,,Manhattan
The Kings,"236 W 50th St, New York, NY 10019",cruising at movies,,,Manhattan
Elgin Theater,"176 8th Ave, New York, NY 10011",cruising at movies,,,Manhattan
New Yorker,"2418 Broadway, New York, NY 10024",cruising at movies,,,Manhattan
Thalia,"2541 Broadway, New York, NY 10025",cruising at movies,,,Manhattan
Riverside,"2568 Broadway, New York, NY 10025",cruising at movies,,,Manhattan
Studio 54 (originally Gallo Opera House),"254 W 54th St, New York, NY 10019",disco,1977,1986,Manhattan
The Saint,"105 2nd Ave, New York, NY 10003",disco,1980,1988,Manhattan
Crisco Disco,"9th Ave & W 15th St, New York, NY 10011",disco,,,Manhattan
Fudge Factory,"308 E 59th St, New York, NY 10022",disco,,,Manhattan
Le Jardin,"110 West 43rd St, New York, NY 10036",disco,,,Manhattan
Fridas's,"25 3rd Ave, New York, NY 10003",disco,,,Manhattan
The Ring,"180 Christopher St, New York, NY 10014",disco,,,Manhattan
The River Club,"491 West St, New York, NY 10014",disco,,,Manhattan
Stix ,"304 E 39th St, New York, NY 10016",disco,,,Manhattan
El Castillo Rojo,"252 West 43rd St, New York, NY 10036",disco,,,Manhattan
Warehouse  ,"201 W 75th St, New York, NY 10023",disco,,,Manhattan
Palace,"110 E 14th St, New York, NY 10003",disco,,,Manhattan
220 Club,"220 W Houston St, New York, NY 10014",disco,,,Manhattan
Tory's,"119 E 27th St, New York, NY 10016",disco,,,Manhattan
Le Trianon,"74 E 13th St, New York, NY 10003",disco,,,Manhattan
Soundscape,"500 W 52nd St, New York, NY 10019",disco,,,Manhattan
Saturday Night Dance Club,"531 W 19th St, New York, NY 10011",disco,,,Manhattan
Hot Ice,"57 W 57th St, New York, NY 10019",disco,,,Manhattan
Network,"579 6th Ave, New York, NY 10011",disco,,,Manhattan
Tropicalia,"1634 3rd Ave, New York, NY 10128",disco,,,Manhattan
Marquee,"439 W 46th St, New York, NY 10036",disco,,,Manhattan
Resurrection,"316 W 49th St, New York, NY 10019",disco,,,Manhattan
