name,address,type,opened,closed,borough,date_approx
The Anvil,"500 W 14th St, New York, NY 10014",disco/backroom,1974,1986,Manhattan,no
Chelsea Big Wok,"207 10th Ave, New York, NY 10011",restaurant,1982,1986,Manhattan,yes
Les Hommes Book Store,"217 W 80th St, New York, NY 10024",bookstore,1970,1986,Manhattan,yes
Jason's Park Royal,"23 W 73rd St, New York, NY 10023",restaurant/cabaret,1982,1986,Manhattan,yes
Jan Wallman's,"28 Cornelia St, New York, NY 10014",restaurant,1977,1986,Manhattan,yes
The Toilet,"400 W 14th St, New York, NY 10014",bar/club/backroom,1970,1986,Manhattan,yes
Sweet Sensations II,"6322 20th Ave, Brooklyn, NY 11204",disco,1984,1986,Brooklyn ,yes
Adult Fair Cinema,"90-18 Astoria Blvd, East Elmhurst, NY 11369",erotica,1980,1986,Queens,yes
Pleasure Chest,"152 7th Ave S, New York, NY 10014",erotica,1980,1986,Manhattan,yes
Pleasure Chest,"939 2nd Ave, New York, NY 10022",erotica,1980,1986,Manhattan,yes
Underground Leather,"390 West St, New York, NY 10014",erotica,1980,1986,Manhattan,yes
Womanbooks,"201 W 92nd St, New York, NY 10025",bookstore,1975,1987,Manhattan,no
Paradise Garage,"84 King St, New York, NY 10014",club,1977,1987,Manhattan,no
Katherine Restaurant,"183 W 10th St, New York, NY 10014",restaurant,1985,1987,Manhattan,yes
Wildwood Tavern,"308 Columbus Ave, New York, NY 10023",bar,1974,1987,Manhattan,yes
Chequers,"311 W 48th St, New York, NY 10019",bar/restaurant,1986,1987,Manhattan,yes
Pete's Place,"317 E 5th St, New York, NY 10003",restaurant,1984,1987,Manhattan,yes
Red Parrot,"617 W 57th St, New York, NY 10019",club,1978,1987,Manhattan,yes
Cell Block 28,"28 9th Ave, New York, NY 10014",bar/club,1986,1987,Manhattan,yes
The Saint,"105 2nd Ave, New York, NY 10003",disco,1980,1988,Manhattan,no
Better Days,"315 W 49th St, New York, NY 10019",bar,1972,1988,Manhattan,no
Carmine's,"86 Mills Ave, Staten Island, NY 10305",bar/restaurant,1950,1988,Staten Island,no
Sandpiper,"86 Mills Ave, Staten Island, NY 10305",bar/restaurant,1950,1988,Staten Island,no
Danny's of Brooklyn Heights,"108 Montague St, Brooklyn, NY 11201",bar,1971,1988,Brooklyn ,yes
Christopher's,"115 Christopher St, New York, NY 10014",bar/restaurant,1982,1988,Manhattan,yes
Johnny's Pub,"123 E 47th St, New York, NY 10017",restaurant,1974,1988,Manhattan,yes
Midtown 43,"127 West 43rd St, New York, NY 10036",bar,1987,1988,Manhattan,yes
Trilogy,"135 Christopher St, New York, NY 10014",restaurant,1980,1988,Manhattan,yes
Panache,"149 E 57th St, New York, NY 10022",bar/restaurant,1987,1988,Manhattan,yes
Hideaway ,"153-40 Hillside Ave., Jamaica, NY 11432",disco,1974,1988,Queens ,yes
Chap's,"1558 3rd Ave, New York, NY 10128",bar,1980,1988,Manhattan,yes
Claire's Restaurant,"156 7th Ave, New York, NY 10011",bar/restaurant,1987,1988,Manhattan,yes
C.J. Blanda,"209 7th Ave, New York, NY 10011",bar,1985,1988,Manhattan,yes
Ronnie's Roost,"2130 Broadway, New York, NY 10023",bar,1974,1988,Manhattan,yes
Oh Johnny,"248 W 14th St, New York, NY 10011",bar,1987,1988,Manhattan,yes
Sweet Sensation,"2527 65th St Brooklyn, NY 11204",disco,1982,1988,Brooklyn,yes
Sally's Hideaway,"264 West 43rd St, New York, NY 10036",bar,1987,1988,Manhattan,yes
Big Apple,"3338 Broadway, New York, NY 10031",bar/club,1987,1988,Manhattan,yes
Clyde's,"340 Bleecker St, New York, NY 10014",restaurant,1980,1988,Manhattan,yes
Silver lining,"349 W 46th St, New York, NY 10036",restaurant,1983,1988,Manhattan,yes
Company,"365 3rd Ave, New York, NY 10016",bar/restaurant,1973,1988,Manhattan,yes
Badlands,"388 West St, New York, NY 10014",bar,1980,1988,Manhattan,yes
Shescape,"41 E 58th St, New York, NY 10022",restaurant,1985,1988,Manhattan,yes
Tracks,"531 W 19th St, New York, NY 10011",bar,1987,1988,Manhattan,yes
Duplex,"55 Grove St, New York, NY 10014",disco/cabaret,1980,1988,Manhattan,yes
Janice's Fish Place,"570 Hudson St, New York, NY 10014",bar,1982,1988,Manhattan,yes
Uncle Charlie's South,"581 3rd Ave, New York, NY 10016",restaurant,1972,1988,Manhattan,yes
Town and Country Pub,"656 9th Ave, New York, NY 10036",bar/restaurant,1983,1988,Manhattan,yes
Billy the Kid,"76-07 Roosevelt Ave, Jackson Heights, NY 11372",bar,1980,1988,Queens ,yes
Ox Cart,"78-11 Roosevelt Ave Jackson Heights, NY 11372",bar/restaurant,1987,1988,Queens,yes
Starz,"836 Grand Blvd Westbury, NY 11590",bar/restaurant,1987,1988,Queens,yes
La Stanza,"953 1st Ave., New York, NY 10022",bar/restaurant,1980,1988,Manhattan,yes
Club Se Soir,"50 Watts St, New York, NY 10013",club,1986,1988,Manhattan,yes
Manhole,"28 9th Ave, New York, NY 10014",private-club,1970,1989,Manhattan,yes
Grove Café,"70 Grove St, New York, NY 10014",juice-bar,1984,1989,Manhattan,yes
Pandora Books,"88 Court St, Brooklyn, NY 11201",bookstore,1970,1989,Brooklyn,yes
Cubby hole,"281 W 12th St, New York, NY 10014",bar,1983,1990,Manhattan,no
Brooklyn Heights Promenade,"5-1 Remsen St, Brooklyn, NY 11201",cruising,1952,1990,Brooklyn,no
Adonis Cinema,"8th Ave & W 50th St, New York, NY 10019",cinema,1975,1990,Manhattan,no
Variety Theater,"111 3rd Ave, New York, NY 10003",cruising-at-movies,1960,1990,Manhattan,yes
Park Miller Theater,"151 W 42nd St, New York, NY 10036",cruising-at-movies,1960,1990,Manhattan,yes
Regency East,"204 E 58th St, New York, NY 10022",bar,1980,1990,Manhattan,yes
The Kings,"236 W 50th St, New York, NY 10019",cruising-at-movies,1960,1990,Manhattan,yes
Thalia,"2541 Broadway, New York, NY 10025",cruising-at-movies,1960,1990,Manhattan,yes
Riverside,"2568 Broadway, New York, NY 10025",cruising-at-movies,1960,1990,Manhattan,yes
Rendezvous Book Store,"38 W 28th St, New York, NY 10001",bookstore,1980,1990,Manhattan,yes
