name,address,type,opened,closed,borough,date approx.,latitude,longitude
The Snake Pit,"215 W 10th St, New York, NY 10014",after hours bar,1970,1971,Manhattan,yes,40.7340772401,-74.004500395673
The Eagle,"142 11th Ave, New York, NY 10011",bar,1970,2025,Manhattan,no,40.736030309199,-73.999965714908
The Toilet,"400 W 14th St, New York, NY 10014",bar/club/backroom,1970,1986,Manhattan,yes,40.740926418159,-74.005467857445
42nd Street Barracks,"226 W 42nd St, New York, NY 10036",baths,1970,1985,Manhattan,yes,40.756313318373,-73.987772196442
Beacon Baths,"227 E 45th St, New York, NY 10017",baths,1970,1985,Manhattan,yes,40.752480001582,-73.972383702518
Sauna Baths,"300 W 58th St, New York, NY 10019",baths,1970,1985,Manhattan,yes,40.767377003421,-73.982481747659
Ansonia Books,"170 W 74th St, New York, NY 10023",bookstore,1970,1980,Manhattan,yes,40.779658771468,-73.980191261351
Studio Book Store,"178 Christopher St, New York, NY 10014",bookstore,1970,1980,Manhattan,yes,40.7324835119,-74.009285371846
Black Jack Books,"210 W 42nd St, New York, NY 10036",bookstore,1970,1979,Manhattan,yes,40.756126987584,-73.98733018629
Les Hommes Book Store,"217 W 80th St, New York, NY 10024",bookstore,1970,1986,Manhattan,yes,40.784154456015,-73.978433277999
Midtown Bookstore,"318 W 42nd St, New York, NY 10036",bookstore,1970,1995,Manhattan,yes,40.757710986687,-73.991089446044
Pandora Books,"88 Court St, Brooklyn, NY 11201",bookstore,1970,1989,Brooklyn,yes,40.691288762954,-73.99167694363
Crisco Disco,"9th Ave & W 15th St, New York, NY 10011",disco,1970,1983,Manhattan,no,40.741641737912,-74.004861050107
The Noose,"261 W 19th St, New York, NY 10011",erotica,1970,2007,Manhattan,yes,40.742418197834,-73.999123051711
David Manscuso Residence/The Loft,"645-547 Broadway, New York, NY 10012",house party,1970,1974,Manhattan,no,40.723629692368,-73.998388585487
Glory Hole,"130 11th Ave, New York, NY 10011",private club,1970,1995,Manhattan,yes,40.747140670316,-74.007718123972
Manhole,"28 9th Ave, New York, NY 10014",private club,1970,1989,Manhattan,yes,40.740333216848,-74.005728118419
